urn	hgvs_lines	peak_rss_gb
urn:mavedb:00001113-a-1	1260	0.129
urn:mavedb:00001114-a-1	880	6.800
urn:mavedb:00001115-a-1	1040	0.135
urn:mavedb:00001116-a-1	900	0.122
urn:mavedb:00001117-a-1	880	0.123
urn:mavedb:00001118-a-1	900	0.121
urn:mavedb:00001119-a-1	940	0.115
urn:mavedb:00001120-a-1	840	0.122
urn:mavedb:00001121-a-1	860	0.348
urn:mavedb:00001122-a-1	560	0.120
urn:mavedb:00001123-a-1	820	0.127
urn:mavedb:00001124-a-1	860	0.123
urn:mavedb:00001125-a-1	1140	17.300
urn:mavedb:00001126-a-1	1420	0.134
urn:mavedb:00001127-a-1	860	0.118
urn:mavedb:00001128-a-1	1240	0.173
urn:mavedb:00001129-a-1	1480	0.125
urn:mavedb:00001130-a-1	1480	0.128
urn:mavedb:00001131-a-1	1780	0.135
urn:mavedb:00001132-a-1	1340	0.126
urn:mavedb:00001133-a-1	1220	0.124
urn:mavedb:00001134-a-1	1120	0.120
urn:mavedb:00001135-a-1	1620	14.900
urn:mavedb:00001137-a-1	700	0.126
urn:mavedb:00001139-a-1	720	0.123
urn:mavedb:00001140-a-1	1760	9.000
urn:mavedb:00001141-a-1	660	0.120
urn:mavedb:00001142-a-1	960	0.144
urn:mavedb:00001143-a-1	1080	0.130
urn:mavedb:00001144-a-1	940	0.193
urn:mavedb:00001145-a-1	1040	0.146
urn:mavedb:00001146-a-1	940	0.162
urn:mavedb:00001147-a-1	920	0.189
urn:mavedb:00001148-a-1	1000	0.191
urn:mavedb:00001149-a-1	1820	0.132
urn:mavedb:00001150-a-1	1840	5.100
urn:mavedb:00001151-a-1	1720	0.154
urn:mavedb:00001152-a-1	480	0.119
urn:mavedb:00001153-a-1	440	0.221
urn:mavedb:00001154-a-1	440	0.221
urn:mavedb:00001155-a-1	440	0.221
urn:mavedb:00001156-a-1	440	2.500
urn:mavedb:00001157-a-1	440	2.500
urn:mavedb:00001158-a-1	440	0.126
urn:mavedb:00001159-a-1	420	0.118
urn:mavedb:00001160-a-1	420	0.123
urn:mavedb:00001161-a-1	440	0.277
urn:mavedb:00001162-a-1	380	0.116
urn:mavedb:00001163-a-1	1120	0.119
urn:mavedb:00001164-a-1	1120	0.139
urn:mavedb:00001165-a-1	1120	0.139
urn:mavedb:00001166-a-1	1120	0.138
urn:mavedb:00001167-a-1	1120	0.123
urn:mavedb:00001168-a-1	1120	0.123
urn:mavedb:00001169-a-1	1120	0.123
urn:mavedb:00001171-a-1	480	0.127
urn:mavedb:00001172-a-1	500	0.333
urn:mavedb:00001173-a-1	440	1.900
urn:mavedb:00001174-a-1	1240	1.600
urn:mavedb:00001175-a-1	1000	0.123
urn:mavedb:00001176-a-1	920	0.593
urn:mavedb:00001177-a-1	440	0.112
urn:mavedb:00001178-a-1	520	0.118
urn:mavedb:00001179-a-1	880	0.133
urn:mavedb:00001180-a-1	780	0.121
urn:mavedb:00001181-a-1	800	0.225
urn:mavedb:00001182-a-1	900	0.128
urn:mavedb:00001183-a-1	800	0.122
urn:mavedb:00001184-a-1	800	0.125
urn:mavedb:00001185-a-1	800	0.127
urn:mavedb:00001186-a-1	720	0.127
urn:mavedb:00001187-a-1	440	0.127
urn:mavedb:00001188-a-1	480	0.557
urn:mavedb:00001189-a-1	420	0.127
urn:mavedb:00001190-a-1	440	0.118
urn:mavedb:00001191-a-1	440	0.109
urn:mavedb:00001192-a-1	440	0.109
urn:mavedb:00001193-a-1	500	0.125
urn:mavedb:00001194-a-1	540	0.125
urn:mavedb:00001195-a-1	1340	3.700
urn:mavedb:00001196-a-1	1280	0.129
urn:mavedb:00001199-a-1	8148	15.000
urn:mavedb:00001200-0-1	9007	8.900
urn:mavedb:00001200-a-1	9682	0.138
urn:mavedb:00001200-b-1	9682	0.138
urn:mavedb:00001200-c-1	9682	0.138
urn:mavedb:00001200-d-1	9682	0.138
urn:mavedb:00001200-e-1	9682	0.137
urn:mavedb:00001205-a-1	8847	66.900
urn:mavedb:00001214-a-1	620	0.908
urn:mavedb:00001214-c-1	972	1.900
urn:mavedb:00001214-d-2	976	1.900
urn:mavedb:00001214-f-2	969	1.800
urn:mavedb:00001214-g-1	959	1.800
urn:mavedb:00001214-h-1	970	1.900
urn:mavedb:00001214-i-1	978	1.900
urn:mavedb:00001214-j-1	978	1.900
urn:mavedb:00001214-l-2	970	1.800
urn:mavedb:00001214-n-1	961	1.800
urn:mavedb:00001214-o-1	948	1.800
urn:mavedb:00001214-p-1	970	1.800
urn:mavedb:00001216-a-1	22806	52.000
urn:mavedb:00001217-a-1	2906	8.700
urn:mavedb:00001217-a-2	2850	8.500
urn:mavedb:00001217-a-3	2906	8.700
urn:mavedb:00001217-a-4	2910	8.700
urn:mavedb:00001218-a-1	5056	162.000
urn:mavedb:00001218-a-2	5056	162.000
urn:mavedb:00001219-a-1	723	0.211
urn:mavedb:00001219-a-2	723	0.211
urn:mavedb:00001219-a-3	723	0.213
urn:mavedb:00001219-a-4	723	0.211
urn:mavedb:00001221-a-1	756	2.500
urn:mavedb:00001221-a-2	756	2.500
urn:mavedb:00001222-a-1	1427	12.600
urn:mavedb:00001222-a-2	1427	12.600
urn:mavedb:00001222-b-1	2271	20.000
urn:mavedb:00001222-b-2	2271	20.000
urn:mavedb:00001227-a-1	5284	0.134
urn:mavedb:00001227-a-2	5284	0.134
urn:mavedb:00001229-a-1	220	0.703
urn:mavedb:00001229-a-2	231	0.733
urn:mavedb:00001230-a-1	76	0.245
urn:mavedb:00001230-a-2	76	0.241
urn:mavedb:00001231-a-1	22824	52.100
urn:mavedb:00001231-a-2	22824	52.100
urn:mavedb:00001233-a-1	49	0.264
urn:mavedb:00001234-0-1	2314	11.200
urn:mavedb:00001234-a-1	2314	11.200
urn:mavedb:00001234-b-1	2314	11.200
urn:mavedb:00001234-c-1	2314	11.200
urn:mavedb:00001234-d-1	2314	11.200
urn:mavedb:00001234-e-1	2314	11.200
urn:mavedb:00001234-f-1	2314	11.200
urn:mavedb:00001234-g-1	2314	11.200
urn:mavedb:00001234-h-1	2314	11.200
urn:mavedb:00001235-a-1	7873	47.000
urn:mavedb:00001236-0-1	7873	47.000
urn:mavedb:00001239-a-1	19100	0.438
urn:mavedb:00001239-a-2	19100	0.438
urn:mavedb:00001239-a-3	19100	0.438
urn:mavedb:00001239-a-4	19100	0.438
urn:mavedb:00001239-a-5	19100	0.438
urn:mavedb:00001239-a-6	19100	0.438
urn:mavedb:00001239-a-7	19100	0.437
urn:mavedb:00001243-a-1	1735	15.000
urn:mavedb:00001244-a-1	1119	2.700
urn:mavedb:00001244-b-1	1119	2.700
urn:mavedb:00001246-a-1	9072	44.200
urn:mavedb:00001249-a-1	2800	0.225
urn:mavedb:00001249-a-2	2800	0.225
urn:mavedb:00001249-a-3	2800	0.225
urn:mavedb:00001249-a-4	2800	0.225
urn:mavedb:00001253-a-1	358	0.119
urn:mavedb:00001253-a-2	699	0.121
urn:mavedb:00001253-a-3	25	0.117
urn:mavedb:00001253-a-4	48	0.098
urn:mavedb:00001253-a-5	684	0.921
urn:mavedb:00001255-a-1	10837	9.400
urn:mavedb:00001255-a-2	10837	9.400
urn:mavedb:00001258-a-1	7176	53.300
urn:mavedb:00001266-0-1	9503	57.800
urn:mavedb:00001266-a-1	10674	64.100
urn:mavedb:00001266-b-1	10674	0.118
urn:mavedb:00001266-c-1	9144	55.700
urn:mavedb:00001267-0-1	9253	145.900
urn:mavedb:00001267-a-1	3605	56.600
urn:mavedb:00001267-a-2	3948	63.600
urn:mavedb:00001267-b-1	5648	89.300
urn:mavedb:00001267-b-2	6016	97.500
urn:mavedb:00001269-a-1	17379	92.500
urn:mavedb:00001269-b-1	16787	89.600
urn:mavedb:00001269-c-1	7584	41.900
urn:mavedb:00001270-a-1	23723	232.400
urn:mavedb:00001270-a-10	23720	232.300
urn:mavedb:00001270-a-2	23723	232.400
urn:mavedb:00001270-a-3	23719	232.300
urn:mavedb:00001270-a-4	23723	232.400
urn:mavedb:00001270-a-5	23720	232.300
urn:mavedb:00001270-a-6	23723	232.400
urn:mavedb:00001270-a-7	23719	232.300
urn:mavedb:00001270-a-8	23720	232.300
urn:mavedb:00001270-a-9	23719	232.300
urn:mavedb:00001271-a-1	23698	232.100
urn:mavedb:00001272-a-1	2800	0.225
urn:mavedb:00001274-a-1	9631	0.597
urn:mavedb:00001275-a-1	7246	0.150
urn:mavedb:00001275-a-2	7244	0.150
