urn	hgvs_lines	peak_rss_gb
urn:mavedb:00000106-a-1	231	0.410
urn:mavedb:00000106-b-1	231	0.410
urn:mavedb:00000106-c-1	231	0.411
urn:mavedb:00000108-0-1	6590	75.200
urn:mavedb:00000108-a-1	6044	68.900
urn:mavedb:00000108-a-3	6590	75.200
urn:mavedb:00000108-b-1	6486	74.200
urn:mavedb:00000109-a-1	24	0.292
urn:mavedb:00000113-a-1	37	0.125
urn:mavedb:00000113-a-2	763	1.100
urn:mavedb:00000113-a-3	751	0.135
urn:mavedb:00000114-a-1	9219	0.592
urn:mavedb:00000115-a-1	3553	8.600
urn:mavedb:00000115-a-10	1054	2.600
urn:mavedb:00000115-a-11	1205	3.100
urn:mavedb:00000115-a-12	1259	3.300
urn:mavedb:00000115-a-13	882	2.200
urn:mavedb:00000115-a-14	1073	2.700
urn:mavedb:00000115-a-15	1258	3.300
urn:mavedb:00000115-a-16	940	2.300
urn:mavedb:00000115-a-17	1128	2.900
urn:mavedb:00000115-a-18	1251	3.300
urn:mavedb:00000115-a-19	886	2.200
urn:mavedb:00000115-a-2	3553	8.700
urn:mavedb:00000115-a-20	1061	2.700
urn:mavedb:00000115-a-21	1257	3.300
urn:mavedb:00000115-a-22	1258	3.300
urn:mavedb:00000115-a-23	1258	3.300
urn:mavedb:00000115-a-24	1118	2.700
urn:mavedb:00000115-a-25	1170	3.000
urn:mavedb:00000115-a-26	1258	3.300
urn:mavedb:00000115-a-27	1230	3.100
urn:mavedb:00000115-a-28	1072	2.600
urn:mavedb:00000115-a-3	3553	8.600
urn:mavedb:00000115-a-4	3553	8.600
urn:mavedb:00000115-a-5	3553	8.700
urn:mavedb:00000115-a-6	3553	8.600
urn:mavedb:00000115-a-7	3553	8.700
urn:mavedb:00000115-a-8	1104	2.700
urn:mavedb:00000115-a-9	1228	3.100
urn:mavedb:00000657-a-1	6152	0.574
urn:mavedb:00000657-b-1	6156	0.574
urn:mavedb:00000659-a-1	6327	7.900
urn:mavedb:00000664-a-1	301	0.254
urn:mavedb:00000664-a-2	118	0.211
urn:mavedb:00000664-a-3	301	0.255
urn:mavedb:00000664-a-4	301	0.255
urn:mavedb:00000664-a-5	245	0.239
urn:mavedb:00000664-a-6	301	0.255
urn:mavedb:00000665-b-1	2910	21.200
urn:mavedb:00000665-c-1	2922	21.300
urn:mavedb:00000665-d-1	2907	21.200
urn:mavedb:00000674-a-1	2539	4.600
urn:mavedb:00000674-a-2	2554	4.600
urn:mavedb:00000674-b-1	2539	4.600
urn:mavedb:00000674-c-1	2544	4.600
urn:mavedb:00000676-a-1	1140	1.400
urn:mavedb:00000677-a-1	1160	0.123
urn:mavedb:00000678-a-1	1140	0.124
urn:mavedb:00000679-a-1	1220	0.129
urn:mavedb:00000680-a-1	1300	7.400
urn:mavedb:00000681-a-1	1260	7.600
urn:mavedb:00000682-a-1	820	0.123
urn:mavedb:00000683-a-1	1140	0.190
urn:mavedb:00000684-a-1	1120	0.118
urn:mavedb:00000685-a-1	1120	2.500
urn:mavedb:00000686-a-1	1120	1.800
urn:mavedb:00000687-a-1	1600	0.126
urn:mavedb:00000688-a-1	1600	47.700
urn:mavedb:00000689-a-1	1560	0.134
urn:mavedb:00000690-a-1	1240	0.183
urn:mavedb:00000691-a-1	1260	0.164
urn:mavedb:00000692-a-1	1380	0.133
urn:mavedb:00000693-a-1	1000	0.127
urn:mavedb:00000694-a-1	1600	0.124
urn:mavedb:00000695-a-1	860	0.119
urn:mavedb:00000696-a-1	1120	0.113
urn:mavedb:00000697-a-1	1520	1.400
